sku,name,slug,price,shipping_category,tax_category,description,taxon
700ex,"Brick 10 x 20 without Bottom Tubes, with '+' Cross Support (early Baseplate)",part-700ex,12.54,Lettermail,Exempt,Part number 700ex,Bricks
702,Brick 4 x 4 Corner,part-702,22.5,Lettermail,Exempt,Part number 702,Bricks
733,"Brick 10 x 10 without Bottom Tubes, without Cross Supports",part-733,17.35,Lettermail,Exempt,Part number 733,Bricks
733ex,"Brick 10 x 10 without Bottom Tubes, with '+' Cross Support (early Baseplate)",part-733ex,46.59,Lettermail,Exempt,Part number 733ex,Bricks
772,Brick 1 x 2 x 2 with Hollow Underside,part-772,21.18,Lettermail,Exempt,Part number 772,Bricks
bslot01,"Brick 1 x 2 without Bottom Tube, Slotted (with 1 slot)",part-bslot01,39.61,Lettermail,Exempt,Part number bslot01,Bricks
bslot01a,Brick 1 x 2 with 2 Slots,part-bslot01a,21.12,Lettermail,Exempt,Part number bslot01a,Bricks
bslot02,"Brick 2 x 2 without Bottom Tubes, Slotted (with 1 slot)",part-bslot02,37.24,Lettermail,Exempt,Part number bslot02,Bricks
bslot02a,"Brick 2 x 2 without Bottom Tubes, Slotted (with 2 slots, opposite)",part-bslot02a,33.15,Lettermail,Exempt,Part number bslot02a,Bricks
bslot02b,"Brick 2 x 2 without Bottom Tubes, Slotted (with 2 slots, right)",part-bslot02b,4.09,Lettermail,Exempt,Part number bslot02b,Bricks
bslot03,"Brick 2 x 3 without Bottom Tubes, Slotted (with 1 slot)",part-bslot03,23.84,Lettermail,Exempt,Part number bslot03,Bricks
bslot03b,Brick 2 x 3 with 2 Slots Right,part-bslot03b,43.3,Lettermail,Exempt,Part number bslot03b,Bricks
bslot03c,Brick 2 x 3 with 2 Slots Left,part-bslot03c,17.26,Lettermail,Exempt,Part number bslot03c,Bricks
bslot04,"Brick 2 x 4 without Bottom Tubes, Slotted (with 1 slot)",part-bslot04,27.4,Lettermail,Exempt,Part number bslot04,Bricks
bslot04a,"Brick 2 x 4 without Bottom Tubes, Slotted (with 2 slots)",part-bslot04a,36.87,Lettermail,Exempt,Part number bslot04a,Bricks
bslot08,"Brick 2 x 8 without Bottom Tubes, Slotted (with 1 slot)",part-bslot08,35.45,Lettermail,Exempt,Part number bslot08,Bricks
bslot08a,Brick 2 x 8 with 2 Slots,part-bslot08a,33.43,Lettermail,Exempt,Part number bslot08a,Bricks
bslot10,Brick 2 x 10 with 1 Slot,part-bslot10,17.11,Lettermail,Exempt,Part number bslot10,Bricks
bslot10a,Brick 2 x 10 with 2 Slots,part-bslot10a,35.57,Lettermail,Exempt,Part number bslot10a,Bricks
bslot12,"Brick 2 x 12 without Bottom Tubes, Slotted (with 1 slot)",part-bslot12,41.31,Lettermail,Exempt,Part number bslot12,Bricks
bslot12a,Brick 2 x 12 with 2 Slots,part-bslot12a,23.84,Lettermail,Exempt,Part number bslot12a,Bricks
bslot14,"Brick 2 x 14 without Bottom Tubes, Slotted (with 1 slot)",part-bslot14,26.99,Lettermail,Exempt,Part number bslot14,Bricks
bslot14a,Brick 2 x 14 with 2 Slots,part-bslot14a,40.88,Lettermail,Exempt,Part number bslot14a,Bricks
bslot16,Brick 4 x 4 Corner Right with 2 Slots,part-bslot16,15.06,Lettermail,Exempt,Part number bslot16,Bricks
