sku,name,slug,price,shipping_category,tax_category,description,taxon,stock,available_on,condition,set_num,num_parts,year
40354-1,Dragon Dance Guy,set-40354-1,11.53,Default,Default,Sealed set #40354,Brickheadz,180,12/11/19,New,40354-1,170,2019
40360-1,Name Sign,set-40360-1,215.35,Default,Default,Sealed set #40360,Friends,26,12/11/19,New,40360-1,91,2019
40362-1,Battle of Endor - 20th Anniversary Edition,set-40362-1,172.55,Default,Default,Sealed set #40362,Star Wars,133,12/11/19,New,40362-1,197,2019
40367-1,Lady Liberty,set-40367-1,1.64,Default,Default,Sealed set #40367,Brickheadz,39,12/11/19,New,40367-1,153,2019
40434-1,Reindeer,set-40434-1,164.57,Default,Default,Sealed set #40434,Creator,76,12/11/19,New,40434-1,77,2019
71023-0,The LEGO Movie 2: The Second Part Series [Random Bag],set-71023-0,73.98,Default,Default,Sealed set #71023,The LEGO Movie Series II,46,12/11/19,New,71023-0,0,2019
71023-1,Awesome Remix Emmet,set-71023-1,168.29,Default,Default,Sealed set #71023,The LEGO Movie Series II,108,12/11/19,New,71023-1,7,2019
71023-10,Swamp Creature,set-71023-10,206.67,Default,Default,Sealed set #71023,The LEGO Movie Series II,191,12/11/19,New,71023-10,6,2019
71023-11,Candy Rapper,set-71023-11,85.16,Default,Default,Sealed set #71023,The LEGO Movie Series II,63,12/11/19,New,71023-11,8,2019
71023-12,Gone Golfin' President Business,set-71023-12,7.49,Default,Default,Sealed set #71023,The LEGO Movie Series II,100,12/11/19,New,71023-12,6,2019
71023-13,Apocalypseburg Abe,set-71023-13,1.97,Default,Default,Sealed set #71023,The LEGO Movie Series II,174,12/11/19,New,71023-13,7,2019
71023-14,Vest Friend Rex,set-71023-14,23.16,Default,Default,Sealed set #71023,The LEGO Movie Series II,108,12/11/19,New,71023-14,6,2019
71023-15,Kitty Pop,set-71023-15,166.3,Default,Default,Sealed set #71023,The LEGO Movie Series II,56,12/11/19,New,71023-15,8,2019
71023-16,Dorothy Gale & Toto,set-71023-16,84.15,Default,Default,Sealed set #71023,The LEGO Movie Series II,143,12/11/19,New,71023-16,7,2019
71023-17,Cowardly Lion,set-71023-17,76.99,Default,Default,Sealed set #71023,The LEGO Movie Series II,51,12/11/19,New,71023-17,7,2019
71023-18,Scarecrow,set-71023-18,95.57,Default,Default,Sealed set #71023,The LEGO Movie Series II,47,12/11/19,New,71023-18,6,2019
71023-19,Tin Man,set-71023-19,29.68,Default,Default,Sealed set #71023,The LEGO Movie Series II,157,12/11/19,New,71023-19,8,2019
71023-2,Battle-Ready Lucy,set-71023-2,37.21,Default,Default,Sealed set #71023,The LEGO Movie Series II,106,12/11/19,New,71023-2,7,2019
71023-20,Unikitty,set-71023-20,89.9,Default,Default,Sealed set #71023,The LEGO Movie Series II,159,12/11/19,New,71023-20,15,2019
71023-21,The LEGO Movie 2: The Second Part Series - All Parts,set-71023-21,150.07,Default,Default,Sealed set #71023,The LEGO Movie Series II,52,12/11/19,New,71023-21,145,2019
71023-22,The LEGO Movie 2: The Second Part Series - Sealed Box,set-71023-22,61.8,Default,Default,Sealed set #71023,The LEGO Movie Series II,113,12/11/19,New,71023-22,0,2019
71023-23,The LEGO Movie 2: The Second Part Series - All Sets,set-71023-23,3,Default,Default,Sealed set #71023,The LEGO Movie Series II,156,12/11/19,New,71023-23,0,2019
71023-3,Apocalypse Benny,set-71023-3,173.52,Default,Default,Sealed set #71023,The LEGO Movie Series II,64,12/11/19,New,71023-3,8,2019
71023-4,Giraffe Guy,set-71023-4,129.93,Default,Default,Sealed set #71023,The LEGO Movie Series II,181,12/11/19,New,71023-4,6,2019
71023-5,Crayon Girl,set-71023-5,34.76,Default,Default,Sealed set #71023,The LEGO Movie Series II,114,12/11/19,New,71023-5,6,2019
71023-6,Sherry Scratchen-Post & Scarfield,set-71023-6,138.97,Default,Default,Sealed set #71023,The LEGO Movie Series II,61,12/11/19,New,71023-6,6,2019
71023-7,Hula Lula,set-71023-7,18.56,Default,Default,Sealed set #71023,The LEGO Movie Series II,20,12/11/19,New,71023-7,8,2019
71023-8,Watermelon Dude,set-71023-8,213.01,Default,Default,Sealed set #71023,The LEGO Movie Series II,20,12/11/19,New,71023-8,6,2019
71023-9,Flashback Lucy,set-71023-9,13.04,Default,Default,Sealed set #71023,The LEGO Movie Series II,145,12/11/19,New,71023-9,7,2019
75254-1,AT-ST Raider,set-75254-1,66.45,Default,Default,Sealed set #75254,Star Wars,179,12/11/19,New,75254-1,540,2019
75255-1,Yoda,set-75255-1,2.7,Default,Default,Sealed set #75255,Star Wars,175,12/11/19,New,75255-1,1747,2019
75256-1,Kylo Ren's Shuttle,set-75256-1,15.08,Default,Default,Sealed set #75256,Star Wars,44,12/11/19,New,75256-1,997,2019
75257-1,Millennium Falcon,set-75257-1,100.93,Default,Default,Sealed set #75257,Star Wars,122,12/11/19,New,75257-1,1342,2019
75258-1,Anakin's Podracer - 20th Anniversary Edition,set-75258-1,116.03,Default,Default,Sealed set #75258,Star Wars,21,12/11/19,New,75258-1,279,2019
75259-1,Snowspeeder - 20th Anniversary Edition,set-75259-1,67,Default,Default,Sealed set #75259,Star Wars,63,12/11/19,New,75259-1,309,2019
75261-1,Clone Scout Walker - 20th Anniversary Edition,set-75261-1,178.17,Default,Default,Sealed set #75261,Star Wars,166,12/11/19,New,75261-1,250,2019
75262-1,Imperial Dropship - 20th Anniversary Edition,set-75262-1,200.46,Default,Default,Sealed set #75262,Star Wars,21,12/11/19,New,75262-1,125,2019
75945-1,Expecto Patronum,set-75945-1,136.66,Default,Default,Sealed set #75945,Harry Potter,71,12/11/19,New,75945-1,122,2019
75946-1,Hungarian Horntail Triwizard Challenge,set-75946-1,190.9,Default,Default,Sealed set #75946,Harry Potter,111,12/11/19,New,75946-1,265,2019
75947-1,Hagrid's Hut: Buckbeak's Rescue,set-75947-1,44.06,Default,Default,Sealed set #75947,Harry Potter,162,12/11/19,New,75947-1,498,2019
75948-1,Hogwarts Clock Tower,set-75948-1,118.95,Default,Default,Sealed set #75948,Harry Potter,140,12/11/19,New,75948-1,926,2019
75957-1,The Knight Bus,set-75957-1,210.57,Default,Default,Sealed set #75957,Harry Potter,111,12/11/19,New,75957-1,404,2019
75958-1,Beauxbatons' Carriage: Arrival at Hogwarts,set-75958-1,173.61,Default,Default,Sealed set #75958,Harry Potter,131,12/11/19,New,75958-1,431,2019
75965-1,The Rise of Voldemort,set-75965-1,166.61,Default,Default,Sealed set #75965,Harry Potter,134,12/11/19,New,75965-1,188,2019
77901-1,Sith Trooper Bust,set-77901-1,46.06,Default,Default,Sealed set #77901,Star Wars,29,12/11/19,New,77901-1,484,2019
853866-1,Oni Villians Accessory Set,set-853866-1,205.87,Default,Default,Sealed set #853866,Ninjago,102,12/11/19,New,853866-1,36,2019
853881-1,Friends Creative Bag Charms,set-853881-1,79.86,Default,Default,Sealed set #853881,Friends,30,12/11/19,New,853881-1,14,2019
853893-1,Jay Legacy Minifigure Keychain,set-853893-1,54.79,Default,Default,Sealed set #853893,Ninjago,200,12/11/19,New,853893-1,0,2019
853899-1,Lloyd's Kendo Training Pod,set-853899-1,151.49,Default,Default,Sealed set #853899,Ninjago,22,12/11/19,New,853899-1,26,2019
8842497-1,City Vehicles Bundle Deal 2 In 1,set-8842497-1,171.84,Default,Default,Sealed set #8842497,City,68,12/11/19,New,8842497-1,0,2019
